menu_id,name,provider_id,position
1000349,Sandwich,1000021,1
1000350,The Classics,1000056,1
1000351,Sandwiches,1000074,1
1000352,Handheld Delights,1000105,1
1000353,Add a Dip,1000033,1
1000354,Blowtorch Pressed Sushi,1000024,1
1000355,Appetizers,1000052,1
1000356,Vegetarian Sandwiches,1000052,1
1000357,Appetizers,1000042,1
1000358,Seared Chicken Sandwiches,1000088,1
1000359,Breakfast,1000103,1
1000360,Flame Grilled Meals,1000013,1
1000361,Flame-Grilled Burgers,1000013,1
1000362,Hot Breakfast,1000075,1
1000363,Most Popular,1000047,1
1000364,Breakfast Sandwiches and Burritos,1000047,1
1000365,Most Popular,1000048,1
1000366,Individual Items,1000047,1
1000367,Breakfast Side,1000104,1
1000368,Sides-Add Ons,1000029,1
1000369,Burly Burgers,1000039,1
1000370,Fries & Sides / Frites et à-côtés,1000102,1
1000371,Picked for you,1000071,1
1000372,Burgers,1000088,1
1000373,Hamburgers,1000102,1
1000374,Picked for you,1000016,1
1000375,Soup & Salads,1000076,1
1000376,Breakfast,1000067,1
1000377,Breakfast Sandwiches,1000080,1
1000378,Omelettes,1000021,1
1000379,Beverages,1000005,1
1000380,"Cookies, Crackers, and Munchies",1000022,1
1000381,Bagels,1000056,1
1000382,Breakfast,1000049,1
1000383,Bowls,1000028,1
1000384,Picked for you,1000031,1
1000385,Fresh Bowls,1000031,1
1000386,Picked for you,1000076,1
1000387,Snack & Share,1000076,1
1000388,Burritos,1000028,1
1000389,Picked for you,1000017,1
1000390,Side & Add Ons,1000051,1
1000391,Bedrock Pasta,1000008,1
1000392,Chips,1000020,1
1000393,Chips1,1000020,1
1000394,Desserts,1000057,1
1000395,Picked for you,1000042,1
1000396,Desserts,1000042,1
1000397,Dessert,1000062,1
1000398,Desserts and Beverages,1000064,1
1000399,Picked for you,1000027,1
1000400,Fresh Bowls,1000027,1
1000401,Waffles,1000103,1
1000402,Bakery,1000075,1
1000403,Pancakes Light and Fluffy,1000029,1
1000404,Sushi Bar Specials,1000073,1
1000405,High Protein Smoothies,1000012,1
1000406,Energy Drink,1000014,1
1000407,British Fare,1000105,1
1000408,Picked for you,1000081,1
1000409,Pints,1000081,1
1000410,Pimped Out Cheesecake,1000081,1
1000411,Milkshakes,1000081,1
1000412,Sliders,1000081,1
1000413,Loaded Fries,1000087,1
1000414,Sunset Burgers,1000080,1
1000415,From The Grill,1000008,1
1000416,Beverages,1000064,1
1000417,Chips & Snacks,1000035,1
1000418,Burgers and More,1000008,1
1000419,The Wok,1000073,1
1000420,Sides,1000105,1
1000421,Starters,1000007,1
1000422,Bag Food,1000089,1
1000423,Burgers,1000007,1
1000424,Canned Beers,1000043,1
1000425,Condiments,1000047,1
1000426,Manakish,1000017,1
1000427,Favourites,1000026,1
1000428,"Wings, Meat & Trays",1000091,1
1000429,Signature Items,1000091,1
1000430,Picked for you,1000002,1
1000431,Picked for you,1000044,1
1000432,Burgers,1000044,1
1000433,Beef Specialities,1000038,1
1000434,Fried Rice and Udon,1000073,1
1000435,Noodle Dishes,1000070,1
1000436,Platters,1000057,1
1000437,Wraps,1000057,1
1000438,Noodles,1000002,1
1000439,Starters,1000088,1
1000440,Signature Creations ON THE ROCKS™,1000057,1
1000441,Signature Creations ON THE STIX™,1000057,1
1000442,Signature Creations ON THE VEGGIES,1000057,1
1000443,Pressed Sushi,1000006,1
1000444,Food,1000009,1
1000445,"Frozen Food, Pizza, and Fries",1000079,1
1000446,Dinner Platter for One,1000010,1
1000447,Rice Bowl 美味盖饭,1000086,1
1000448,Rice,1000042,1
1000449,Salads,1000057,1
1000450,On the Poutine,1000057,1
1000451,On the Poutine,1000058,1
1000452,Lunch Sandwiches,1000064,1
1000453,Wraps,1000042,1
1000454,Picked for you,1000000,1
1000455,Sashimi A La Carte,1000006,1
1000456,"Soup, Congee and Steamed Rice 汤，粥和白米饭",1000086,1
1000457,Beef Hakka Chinese,1000038,1
1000458,Eat Your Greens,1000033,1
1000459,Dog Food,1000079,1
1000460,"Pancakes, Waffles, and French Toast",1000078,1
1000461,Ice Creams,1000000,1
1000462,Ice Cream,1000082,1
1000463,Ice Cream & Dessert,1000005,1
1000464,Ice Creams,1000020,1
1000465,Picked for you,1000020,1
1000466,Ice Creams,1000022,1
1000467,Ice Cream,1000079,1
1000468,Beer Cans/Bottles,1000088,1
1000469,Picked for you,1000074,1
